City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
592,Recea Cristur,RO,47.0667,23.5333,43.95,93,42,6.67,scattered clouds
593,Youghal,IE,51.95,-7.8506,60.1,100,100,25.08,overcast clouds
594,Ler,SS,8.3018,30.1418,71.55,90,100,0.78,overcast clouds
595,Wielun,PL,51.221,18.5696,48.18,89,57,16.35,broken clouds
596,Rincon,US,32.296,-81.2354,61.86,93,0,0.0,clear sky
597,Natividad,PH,16.0443,120.7987,88.86,66,71,5.66,broken clouds
598,Roald,NO,62.5833,6.1333,58.33,82,40,8.05,light rain
599,Lumban,PH,14.2976,121.4589,88.12,65,99,7.78,overcast clouds
600,Bergerac,FR,44.8333,0.5,53.87,100,20,3.44,mist
601,Bucerias,MX,20.75,-105.3333,80.58,83,75,3.44,broken clouds
602,Moron,AR,-34.6534,-58.6198,55.15,73,14,10.56,few clouds
603,Kutahya,TR,39.4242,29.9833,45.63,95,6,3.38,clear sky
604,Banda Aceh,ID,5.5577,95.3222,82.71,74,73,13.49,broken clouds
605,Alihe,CN,50.5667,123.7167,39.49,25,50,11.65,scattered clouds
606,Kayankulam,IN,9.1833,76.5,81.19,77,100,7.11,overcast clouds
607,Saint-Joseph,RE,-21.3667,55.6167,73.2,72,27,10.09,scattered clouds
608,Vagur,FO,61.4732,-6.8119,54.0,87,100,38.25,light rain
609,Empangeni,ZA,-28.762,31.8933,67.64,74,78,9.95,broken clouds
610,Bedesa,ET,8.9,40.7833,61.21,93,92,5.99,light rain
611,Nipawin,CA,53.3668,-104.0009,44.64,81,100,3.44,haze
612,Amahai,ID,-3.3333,128.9167,83.77,76,75,5.26,broken clouds
613,Karratha,AU,-20.7377,116.8463,83.43,34,0,12.88,clear sky
614,Borgarnes,IS,64.5383,-21.9206,51.85,77,100,17.18,overcast clouds
615,Wewak,PG,-3.5534,143.6268,87.24,65,12,9.93,few clouds
616,Nelson,NZ,-41.2833,173.2833,55.99,66,61,4.25,broken clouds
617,Conakry,GN,9.538,-13.6773,78.87,83,75,6.91,broken clouds
618,Luderitz,NA,-26.6481,15.1594,55.24,81,0,18.72,clear sky
619,Issoire,FR,45.55,3.25,43.86,93,9,4.85,clear sky
620,Shelby,US,35.2001,-89.8668,64.49,75,0,5.75,clear sky
621,Paka,MY,4.6374,103.4368,85.86,65,87,3.22,overcast clouds
622,Te Anau,NZ,-45.4167,167.7167,44.51,95,100,5.37,overcast clouds
623,Nehe,CN,48.4833,124.8333,43.99,21,21,15.7,few clouds
624,Tonneins,FR,44.3921,0.3124,55.42,94,3,0.69,clear sky
625,Poum,NC,-20.2333,164.0167,74.26,64,11,17.27,few clouds
626,Tatarka,RU,44.9589,41.9517,57.02,72,98,11.16,overcast clouds
627,Marfino,RU,55.7028,37.3822,50.16,83,75,17.9,broken clouds
628,Aasiaat,GL,68.7098,-52.8699,25.41,89,97,6.71,overcast clouds
629,Serebryansk,KZ,49.6925,83.2892,47.44,33,0,1.32,clear sky
630,Gao,ML,16.6362,1.637,87.08,14,2,9.46,clear sky
631,Mantua,IT,45.1667,10.7833,61.75,87,13,3.0,few clouds
632,Nador,MA,35.174,-2.9287,66.45,94,0,1.14,clear sky
633,Santa Cruz,BO,-17.8,-63.1667,71.06,68,40,4.61,scattered clouds
634,Batemans Bay,AU,-35.7167,150.1833,66.09,57,90,8.95,light rain
635,Vallenar,CL,-28.5708,-70.7581,56.8,65,0,0.56,clear sky
636,Tigil,RU,57.8,158.6667,41.74,96,100,13.06,moderate rain
