City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
45,Thames,NZ,2022-10-02 05:04:26,-37.1333,175.5333,61.93,94,99,4.18
46,Havelock,US,2022-10-02 05:04:26,34.8791,-76.9013,66.92,92,9,3.15
47,Vaini,TO,2022-10-02 05:04:27,-21.2,-175.2,77.16,78,20,6.91
48,Norman Wells,CA,2022-10-02 05:04:27,65.282,-126.8329,37.36,91,100,24.52
49,Upernavik,GL,2022-10-02 05:04:28,72.7868,-56.1549,20.35,85,17,4.85
50,Souillac,MU,2022-10-02 05:04:28,-20.5167,57.5167,70.05,68,58,12.66
51,Luganville,VU,2022-10-02 05:04:28,-15.5333,167.1667,81.81,69,26,3.87
52,Saint George,US,2022-10-02 05:00:53,37.1041,-113.5841,76.95,35,0,8.05
53,Marietta,US,2022-10-02 05:00:00,33.9526,-84.5499,60.46,81,0,5.01
54,Camacha,PT,2022-10-02 05:04:29,33.0833,-16.3333,65.62,73,20,6.91
55,Faanui,PF,2022-10-02 05:04:29,-16.4833,-151.75,78.42,69,60,13.29
56,Bundaberg,AU,2022-10-02 05:03:09,-24.85,152.35,63.21,96,75,4.0
57,Merauke,ID,2022-10-02 05:04:30,-8.4667,140.3333,81.91,80,90,10.09
58,Adrar,MR,2022-10-02 05:02:21,20.5022,-10.0711,76.8,25,1,8.16
59,Mahebourg,MU,2022-10-02 05:04:30,-20.4081,57.7,75.25,68,88,12.17
60,Taltal,CL,2022-10-02 05:00:32,-25.4,-70.4833,57.43,75,13,2.93
61,Usinsk,RU,2022-10-02 05:04:31,65.9939,57.5281,39.7,94,99,14.29
62,Mwingi,KE,2022-10-02 05:04:31,-0.9344,38.0601,68.27,66,82,6.76
63,Hilo,US,2022-10-02 05:03:48,19.7297,-155.09,75.25,92,99,1.99
64,Igarka,RU,2022-10-02 05:04:32,67.4667,86.5833,33.3,61,77,8.1
65,Kapaa,US,2022-10-02 05:04:32,22.0752,-159.319,82.38,82,20,9.22
66,Bluff,NZ,2022-10-02 05:01:26,-46.6,168.3333,47.8,64,5,5.39
67,Talnakh,RU,2022-10-02 05:04:32,69.4865,88.3972,29.21,92,99,6.42
68,Kedrovyy,RU,2022-10-02 05:04:33,56.1667,91.8167,34.21,67,98,7.96
69,Hobart,AU,2022-10-02 05:04:33,-42.8794,147.3294,64.06,48,75,17.27
70,Black River,JM,2022-10-02 05:04:34,18.0264,-77.8487,76.91,86,91,3.91
71,Rio Grande,BR,2022-10-02 05:04:34,-32.035,-52.0986,56.16,93,5,7.45
72,Port Lincoln,AU,2022-10-02 05:04:34,-34.7333,135.8667,65.98,60,100,9.6
